Brand,Model_name,Model_colour,RAM(GB),ROM(GB),Display,Processor,Current_price,Original_price,Discount(%),Rating
Motorola,Motorola E7 Plus ,Misty Blue,4,64,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,9499,12999,26,4.2
Realme,Realme 6 ,Comet White,6,64,90 Hz Ultra Smooth Display,MediaTek Helio G90T Processor,12999,17999,27,4.4
Realme,Realme 6 ,Comet Blue,6,64,90 Hz Ultra Smooth Display,MediaTek Helio G90T Processor,12999,17999,27,4.4
Realme,Realme 7i ,Fusion Blue,4,128,90 Hz Ultra Smooth Display,Qualcomm Snapdragon 662 Processor,12999,14999,13,4.3
Realme,Realme 7i ,Fusion Green,4,128,90 Hz Ultra Smooth Display,Qualcomm Snapdragon 662 Processor,12999,14999,13,4.3
POCO,POCO M2 ,Slate Blue,6,64,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,9999,12999,23,4.3
POCO,POCO C3 ,Lime Green,4,64,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,8499,10999,22,4.3
POCO,POCO C3 ,Matte Black,3,32,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,7499,9999,25,4.3
Infinix,Infinix Smart 4 Plus ,Quetzal Cyan,3,32,17.32 cm (6.82 inch) HD+ Display,Mediatek Helio A25 Processor,7999,9999,20,4.4
Redmi,Redmi 9i ,Midnight Black,4,64,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,8299,9999,17,4.3
Redmi,Redmi 9i ,Nature Green,4,64,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,8299,9999,17,4.3
POCO,POCO M2 ,Brick Red,6,64,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,9999,12999,23,4.3
Infinix,Infinix Smart 4 Plus ,Midnight Black,3,32,17.32 cm (6.82 inch) HD+ Display,Mediatek Helio A25 Processor,7999,9999,20,4.4
Infinix,Infinix Smart 4 Plus ,Ocean Wave,3,32,17.32 cm (6.82 inch) HD+ Display,Mediatek Helio A25 Processor,7999,9999,20,4.4
Infinix,Infinix Smart 4 Plus ,Violet,3,32,17.32 cm (6.82 inch) HD+ Display,Mediatek Helio A25 Processor,7999,9999,20,4.4
POCO,POCO M2 ,Slate Blue,6,128,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,10999,14999,26,4.3
Redmi,Redmi 9 Prime ,Mint Green,4,64,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,9999,11999,16,4.4
Realme,Realme Narzo 20 Pro ,Black Ninja,8,128,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G95 Processor,15999,18999,15,4.3
POCO,POCO C3 ,Matte Black,4,64,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,8499,10999,22,4.3
Motorola,Motorola G9 Power ,Electric Violet,4,64,17.22 cm (6.78 inch) HD+ Display,Qualcomm Snapdragon 662 Processor,11999,15999,25,4.2
POCO,POCO M2 ,Pitch Black,6,128,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,10999,14999,26,4.3
POCO,POCO C3 ,Lime Green,3,32,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,7499,9999,25,4.3
Redmi,Redmi 9 Prime ,Matte Black,4,64,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,9999,11999,16,4.4
Realme,Realme Narzo 20 Pro ,White Knight,8,128,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G95 Processor,15999,18999,15,4.3
Redmi,Redmi 9 Prime ,Space Blue,4,64,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,9999,11999,16,4.4
Infinix,Infinix Hot 10 ,Ocean Wave,4,64,17.22 cm (6.78 inch) HD+ Display,MediaTek Helio G70 Processor,9499,11999,20,4.4
Infinix,Infinix Hot 10 ,Amber Red,4,64,17.22 cm (6.78 inch) HD+ Display,MediaTek Helio G70 Processor,9499,11999,20,4.4
Infinix,Infinix Hot 10 ,Moonlight Jade,4,64,17.22 cm (6.78 inch) HD+ Display,MediaTek Helio G70 Processor,9499,11999,20,4.4
Infinix,Infinix Hot 10 ,Obsidian Black,4,64,17.22 cm (6.78 inch) HD+ Display,MediaTek Helio G70 Processor,9499,11999,20,4.4
Infinix,Infinix Smart 4 ,Ocean Wave,2,32,17.32 cm (6.82 inch) HD+ Display,MediaTek Helio A22 Processor,6999,8999,22,4.4
Infinix,Infinix Smart 4 ,Violet,2,32,17.32 cm (6.82 inch) HD+ Display,MediaTek Helio A22 Processor,6999,8999,22,4.4
Infinix,Infinix Smart 4 ,Quetzal Cyan,2,32,17.32 cm (6.82 inch) HD+ Display,MediaTek Helio A22 Processor,6999,8999,22,4.4
Infinix,Infinix Smart HD 2021 ,Obsidian Black,2,32,15.49 cm (6.1 inch) HD+ Display,MediaTek Helio A20 Processor,5999,7999,25,4.5
Infinix,Infinix Smart HD 2021 ,Topaz Blue,2,32,15.49 cm (6.1 inch) HD+ Display,MediaTek Helio A20 Processor,5999,7999,25,4.5
POCO,POCO X2 ,Matrix Purple,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,15999,19999,20,4.5
POCO,POCO C3 ,Arctic Blue,3,32,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,7499,9999,25,4.3
Realme,Realme C12 ,Power Blue,3,32,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 Processor,8499,10999,22,4.4
POCO,POCO M2 Pro ,Green and Greener,6,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,13999,17999,22,4.4
Realme,Realme 7 ,Mist Blue,6,64,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G95 Processor,14999,17999,16,4.3
Infinix,Infinix Hot 10 ,Obsidian Black,6,128,17.22 cm (6.78 inch) HD+ Display,MediaTek Helio G70 Processor,10999,13999,21,4.4
POCO,POCO M2 Pro ,Out of the Blue,4,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,12999,16999,23,4.4
POCO,POCO M2 Pro ,Green and Greener,4,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,12999,16999,23,4.4
POCO,POCO M2 Pro ,Two Shades of Black,6,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,13999,17999,22,4.4
POCO,POCO M2 ,Brick Red,6,128,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,10999,14999,26,4.3
POCO,POCO X2 ,Atlantis Blue,6,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,14999,18999,21,4.5
Tecno,Tecno Spark 6 Go ,Mystery White,4,64,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A25 Processor,8499,9999,15,4.4
Tecno,Tecno Spark 6 Go ,Aqua Blue,4,64,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A25 Processor,8499,9999,15,4.4
POCO,POCO X3 ,Cobalt Blue,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 732G Processor,17999,20999,14,4.3
Samsung,Samsung Galaxy F41 ,Fusion Blue,6,64,Super AMOLED Display,Exynos 9611 Processor,15499,19999,22,4.3
POCO,POCO M2 Pro ,Out of the Blue,6,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,13999,17999,22,4.4
Realme,Realme 6i ,Lunar White,6,64,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G90T Processor,13999,15999,12,4.4
OPPO,OPPO Reno2 F ,Sky White,8,128,16.51 cm (6.5 inch) Display,MTK MT6771V(P70) 64bit Processor,21990,28990,24,4.4
Realme,Realme 7 ,Mist Blue,8,128,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G95 Processor,16999,20999,19,4.3
POCO,POCO X2 ,Phoenix Red,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,15999,19999,20,4.5
Samsung,Samsung Galaxy F41 ,Fusion Green,6,128,Super AMOLED Display,Exynos 9611 Processor,16499,20999,21,4.3
Samsung,Samsung Galaxy F41 ,Fusion Black,6,128,Super AMOLED Display,Exynos 9611 Processor,16499,20999,21,4.3
